cruise	date	Depth	Oxygen 	Phosphate	Silicate	Nitrate	Ammonium	Nitrite 	Hydrogen Sulfide 	Methane 	Nitrous Oxide
SI047	10-07-17	200	0	6.357	86.219	0	10.8665613	0.167624521	20.01885524	1251.9503	3.957327144
SI025	08-09-10	85	25.35693073	2.672	26.489	26.0605	NAN	NAN	0	0	24.16658738
SI036	09-08-01	97	36.79503733	3.3011	59.122	27.617	0	0	0	4.683572656	19.34896945
SI028	08-12-10	20	169.2196104	NAN	NAN	NAN	NAN	0.23926868	0	20.61689725	13.02276182
SI035	09-07-01	165	0	5.203	46.16	0	6.586249309	0	5.36113174	694.8017736	1.189626966
SI021	08-05-14	135	27.92638655	3.843	75.335	14.945	NAN	NAN	0	0	22.10514128
SI022	08-06-11	135	27.34940996	4.4955	74.4565	17.39	NAN	NAN	0	5.137864123	18.67893814
SI032	09-04-08	185	2.720942365	5.071	33.136	0	1.298261082	0	0	700.7889703	0
SI030	09-02-11	100	132.4281555	2.8369	27.142	28.124	NAN	0.130801688	0	129.772212	16.5593982
SI032	09-04-08	165	2.797275971	4.862	35.454	0	0.6385142	0	0	516.6644966	0
SI028	08-12-10	185	5.580033091	NAN	NAN	NAN	NAN	0.023052464	0	0	18.21002499
SI036	09-08-01	40	131.5086391	1.4894	28.77	17.594	0	0.029829545	0	46.84069031	15.08013207
SI033	09-05-01	185	NAN	5.5231	59.348	0	2.859164478	0.026086957	6.135761909	954.8398597	0
SI038	09-10-01	75	13.39170649	3.3176	65.774	25.202	3.061164356	0.027914614	0	23.33914023	25.45716389
SI024	08-08-11	20	195.0121999	1.583	42.846	16.614	1.909086	0.375	0	34.74826511	11.5042033
SI046	10-06-01	60	180.676983	2.366	25.8	19.214	3.480160329	0.896551724	0	56.05808783	25.75078189
SI026	08-10-15	120	2.891121232	4.532	103.918	1.699	1.244369875	NAN	0	189.3229862	0.423268408
SI046	10-06-01	40	195.8334591	1.469	12.711	8.572	2.334314728	0.891762452	0	73.23550964	22.38679866
SI047	10-07-17	85	87.04719034	2.926	55.749	27.905	0	0.022030651	0	18.51872638	12.31263511
SI046	10-06-01	90	94.16180036	2.866	53.195	27.795	0	0.039272031	0	22.06140288	19.05168391
SI038	09-10-01	10	139.9250684	1.4443	37.9	10.996	10.73812704	0.231527094	0	827.9499104	1.978451974
SI033	09-05-01	110	NAN	3.2637	25.177	26.658	0	0.242753623	0	0	17.62868432
SI032	09-04-08	100	121.0416208	2.3023	17.743	28.704	0	0.032280702	0	0.210259031	16.19355447
SI024	08-08-11	100	39.63252047	3.391	67.55	29.438	1.20504	0.1528	0	5.072338353	14.50726964
SI038	09-10-01	60	65.57513262	2.4266	46.922	23.644	2.61819773	0.033661741	0	36.34235701	16.30762748
SI047	10-07-17	165	0	5.692	83.609	0	6.930868483	0.157088123	6.692047284	519.5503458	3.287761177
SI038	09-10-01	135	6.462109337	3.1977	58.923	6.755	1.282623029	0.514778325	0	8.486437036	16.8992569
SI027	08-11-12	150	NAN	NAN	NAN	NAN	0	0	0	3.81392212	15.09192067
SI036	09-08-01	75	46.48030864	3.0162	62.555	30.524	0	0.027462121	0	15.53156966	18.62468121
SI034	09-06-01	150	2.825687522	3.8731	41.886	3.839	0	0.440061872	0	108.8469352	7.425296219
SI027	08-11-12	165	NAN	NAN	NAN	NAN	0.227806901	0	0	4.841784837	13.76871131
SI032	09-04-08	135	3.888043396	4.4528	22.414	14.558	0	0.001052632	0	0	10.56491917
SI025	08-09-10	100	22.31926099	3.2875	48.509	27.6755	NAN	NAN	0	0	23.65176124
SI032	09-04-08	120	31.00048133	4.1272	22.994	21.692	0	0.009824561	0	9.677805176	13.50599122
SI021	08-05-14	120	65.11108462	3.389	73.872	20.324	NAN	NAN	0	8.777580011	15.0372399
SI030	09-02-11	150	19.4712922	4.6442	27.276	11.458	NAN	0.582278481	0	33.642159	0
SI021	08-05-14	100	91.23664648	2.098	50.392	18.899	NAN	NAN	0	38.04680915	14.20585202
SI026	08-10-15	185	28.88540667	3.794	83.373	20.364	0	NAN	0	0	18.50953524
SI028	08-12-10	10	192.9328557	NAN	NAN	NAN	NAN	0.234499205	0	18.4950889	14.42548901
SI033	09-05-01	10	NAN	1.452	17.653	13.503	2.007832418	0.155072464	0	45.84623137	9.45754075
SI034	09-06-01	75	121.3388634	2.2231	36.525	21.184	0.157270629	0.220417633	0	27.04521408	17.12853805
SI030	09-02-11	85	127.7476526	2.5069	27.629	29.084	NAN	0.046413502	0	12.17777045	12.78504155
SI046	10-06-01	85	110.85245	2.775	49.842	27.651	0	0.010536398	0	25.4530697	15.78374704
SI025	08-09-10	150	3.099566491	4.0745	78.717	1.967	NAN	NAN	0	88.31014955	0
SI031	09-03-11	200	2.837326025	5.1513	47.075	0	1.012016442	0	NAN	633.7891313	0
SI047	10-07-17	40	216.1464916	1.774	28.939	14.34	2.10313943	0.690613027	0	9.429610434	6.744344658
SI035	09-07-01	110	18.43323173	2.8732	20.659	17.912	0	0	0	NAN	NAN
SI025	08-09-10	185	2.750666173	4.9375	97.169	0	NAN	NAN	0	797.8158141	0
SI034	09-06-01	90	82.19037871	2.9315	57.508	29.125	0	0.065506574	0	11.72027649	22.19532685
SI034	09-06-01	85	97.84796024	2.6015	46.595	24.26	0	0.159319412	0	14.62881039	15.62372861
SI025	08-09-10	135	9.263126464	3.8975	75.867	10.471	NAN	NAN	0	0	10.05976557
SI036	09-08-01	100	32.40375717	3.3869	69.34	28.293	0	0	0	4.830830534	19.46165615
SI033	09-05-01	60	NAN	2.4783	22.422	25.324	1.364828519	0.270289855	0	52.60067838	16.39084151
SI029	09-01-14	135	3.252180843	4.5562	28.367	8.172	NAN	0.015319149	0	0	2.87724528
SI046	10-06-01	75	146.1431239	2.656	49.779	27.842	0	0.135057471	0	71.59458805	28.45432017
SI035	09-07-01	85	72.08775565	2.5003	48.9	25.212	0	0.090163934	0	18.92320553	18.98638192
SI025	08-09-10	60	93.25792737	1.8965	22.726	20.7975	NAN	NAN	0	0	19.53735687
SI034	09-06-01	110	37.24172548	3.3396	28.019	28.687	0	0	0	7.053463778	22.83443832
SI034	09-06-01	20	210.1782063	1.7864	19.631	11.274	4.005554229	0.201856148	0	50.68015023	14.37905903
SI024	08-08-11	40	146.3237895	2.01	39.652	24.167	0.5469	0.2326	0	30.17557462	12.46259632
SI033	09-05-01	150	NAN	4.6926	51.942	10.841	0	0.048550725	0	0	6.642659946
SI022	08-06-11	120	51.30641537	4.1825	78.842	12.62	NAN	NAN	0	7.874145143	17.77434859
SI032	09-04-08	75	144.2052426	2.585	18.821	29.751	0	0.01754386	0	0	14.78163479
SI026	08-10-15	60	91.11473631	2.469	52.823	29.718	0	NAN	0	15.77941536	18.49439842
SI021	08-05-14	20	213.457857	NAN	NAN	NAN	NAN	NAN	0	21.86114363	10.93285117
SI034	09-06-01	165	2.743216191	5.3383	37.609	0	0.667390785	0.002320186	0	473.4005887	1.556354979
SI029	09-01-14	20	176.9116299	2.2484	27.103	29.368	NAN	0.046170213	0	0	11.30468033
SI024	08-08-11	200	0	5.198	109.953	0	5.801744	0.25	9.65667621	786.7817416	0.317157206
