date	depth	abundance	group
08-12-10	165	0.020580366	OPU1H2
09-03-11	165	0.014013453	OPU1H2
08-06-11	185	0.028787334	OPU1H2
08-07-15	185	0.011820331	OPU1H2
08-10-15	185	0.065045939	OPU1H2
09-03-11	185	0.013101867	OPU1H2
08-05-14	200	0.014726456	OPU1H2
08-07-15	200	0.018317255	OPU1H2
08-08-11	200	0.015434481	OPU1H2
08-09-10	200	0.036832413	OPU1H2
08-11-12	200	0.045592705	OPU1H2
09-02-11	200	0.018781106	OPU1H2
09-10-01	85	0.010670081	OPU1H2
10-06-01	135	0.010250103	OPU1H2
09-05-01	20	0.010093873	OPU1H2
08-06-11	10	0.083559641	SHAN715
08-07-15	10	0.218420095	SHAN715
08-08-11	10	0.135665834	SHAN715
08-09-10	10	0.040938865	SHAN715
08-10-15	10	0.126103405	SHAN715
08-11-12	10	0.288041319	SHAN715
08-12-10	10	0.024380333	SHAN715
09-02-11	10	0.027520916	SHAN715
08-07-15	20	0.114051095	SHAN715
08-08-11	20	0.069486667	SHAN715
08-09-10	20	0.057077626	SHAN715
08-10-15	20	0.050454087	SHAN715
08-11-12	20	0.05912262	SHAN715
08-07-15	40	0.080906149	SHAN715
08-08-11	40	0.047221785	SHAN715
08-09-10	40	0.042010923	SHAN715
08-11-12	40	0.649244367	SHAN715
08-12-10	40	0.020870291	SHAN715
09-02-11	40	0.013371367	SHAN715
09-03-11	40	0.022000587	SHAN715
09-04-08	40	0.038476337	SHAN715
08-07-15	60	0.065013467	SHAN715
08-08-11	60	0.014742739	SHAN715
08-09-10	60	0.047262702	SHAN715
08-10-15	60	0.069789082	SHAN715
08-11-12	60	0.462014765	SHAN715
08-12-10	60	0.067862336	SHAN715
09-03-11	60	0.013386881	SHAN715
09-04-08	60	0.010820169	SHAN715
08-09-10	75	0.098631488	SHAN715
08-12-10	75	0.24291498	SHAN715
09-03-11	75	0.162425555	SHAN715
09-04-08	75	0.023373588	SHAN715
08-05-14	85	0.037195462	SHAN715
08-09-10	85	0.282228696	SHAN715
08-12-10	85	0.09839937	SHAN715
09-01-14	85	0.014556747	SHAN715
09-04-08	85	0.02288155	SHAN715
09-10-01	85	0.010670081	SHAN715
08-05-14	90	0.051807506	SHAN715
08-09-10	90	0.245700246	SHAN715
08-12-10	90	0.041450777	SHAN715
09-02-11	90	0.027700831	SHAN715
09-03-11	90	0.042826552	SHAN715
09-04-08	90	0.019188947	SHAN715
08-05-14	97	0.052527905	SHAN715
08-06-11	97	0.01471887	SHAN715
08-12-10	97	0.246470984	SHAN715
09-02-11	97	0.02801709	SHAN715
09-03-11	97	0.106742572	SHAN715
09-04-08	97	0.022298201	SHAN715
08-05-14	100	0.138256344	SHAN715
08-09-10	100	0.264484668	SHAN715
08-11-12	100	0.011558021	SHAN715
08-12-10	100	0.23791251	SHAN715
09-01-14	100	0.046765394	SHAN715
09-02-11	100	0.044330171	SHAN715
09-03-11	100	0.044208665	SHAN715
09-04-08	100	0.215090768	SHAN715
09-05-01	100	0.022844959	SHAN715
09-10-01	100	0.015165302	SHAN715
08-05-14	110	0.073066033	SHAN715
08-08-11	110	0.047425474	SHAN715
08-09-10	110	0.128832775	SHAN715
08-11-12	110	0.02242823	SHAN715
08-12-10	110	0.192320021	SHAN715
09-01-14	110	0.043322864	SHAN715
09-02-11	110	0.203302119	SHAN715
09-03-11	110	0.147660917	SHAN715
09-04-08	110	0.297300511	SHAN715
09-05-01	110	0.025857611	SHAN715
09-10-01	110	0.011450819	SHAN715
10-07-17	110	0.020145044	SHAN715
08-05-14	120	0.229020121	SHAN715
08-09-10	120	0.179125043	SHAN715
08-11-12	120	0.014123629	SHAN715
08-12-10	120	0.109801202	SHAN715
09-01-14	120	0.017137961	SHAN715
09-02-11	120	0.232333011	SHAN715
09-03-11	120	0.110668437	SHAN715
09-04-08	120	0.295057782	SHAN715
09-05-01	120	0.029647198	SHAN715
09-07-01	120	0.014757969	SHAN715
09-10-01	120	0.020426923	SHAN715
10-06-01	120	0.020535989	SHAN715
10-07-17	120	0.029844807	SHAN715
08-05-14	135	0.189530686	SHAN715
08-06-11	135	0.017825312	SHAN715
08-07-15	135	0.020397756	SHAN715
08-08-11	135	0.021041557	SHAN715
08-09-10	135	0.168	SHAN715
08-10-15	135	0.04145937	SHAN715
09-01-14	135	0.055392894	SHAN715
09-02-11	135	0.037810757	SHAN715
09-03-11	135	0.017814727	SHAN715
09-04-08	135	0.256410256	SHAN715
09-07-01	135	0.051398026	SHAN715
09-10-01	135	0.068177944	SHAN715
10-06-01	135	0.020500205	SHAN715
10-07-17	135	0.019453361	SHAN715
